"Variable","Series_Name","Series_template","Factor","notes","notes_variable"
"Primary Energy|Gas","Energy Use : Total : Natural Gas, United States","{EIA_dataset}.{EIA_scenario}.CNSM_ENU_TEN_NA_NG_NA_NA_QBTU.A",1,"",""
"Primary Energy|Fossil","Total Energy : Exports : Coal","{EIA_dataset}.{EIA_scenario}.TRAD_EXP_TEN_NA_CL_NA_USA_QBTU.A",-1,"not in template anymore","Primary Energy|Coal|Electricity"
"Primary Energy|Fossil","Total Energy : Exports : Natural Gas","{EIA_dataset}.{EIA_scenario}.TRAD_EXP_TEN_NA_NG_NA_USA_QBTU.A",-1,"",""
"Primary Energy|Fossil","Total Energy : Exports : Petroleum","{EIA_dataset}.{EIA_scenario}.TRAD_EXP_TEN_NA_PET_NA_USA_QBTU.A",-1,"",""
"Primary Energy|Fossil","Total Energy : Imports : Crude Oil","{EIA_dataset}.{EIA_scenario}.TRAD_IMP_TEN_NA_CR_NA_USA_QBTU.A",1,"",""
"Primary Energy|Fossil","Total Energy : Imports : Liquid Fuels","{EIA_dataset}.{EIA_scenario}.TRAD_IMP_TEN_NA_LFL_NA_USA_QBTU.A",1,"",""
"Primary Energy|Fossil","Total Energy : Imports : Natural Gas","{EIA_dataset}.{EIA_scenario}.TRAD_IMP_TEN_NA_NG_NA_USA_QBTU.A",1,"",""
"Primary Energy|Fossil","Total Energy : Production : Coal","{EIA_dataset}.{EIA_scenario}.SUP_PRD_TEN_NA_CL_NA_USA_QBTU.A",1,"",""
"Primary Energy|Fossil","Total Energy : Production : Crude Oil and Lease Condensate","{EIA_dataset}.{EIA_scenario}.SUP_PRD_TEN_NA_CLC_NA_USA_QBTU.A",1,"",""
"Primary Energy|Fossil","Total Energy : Production : Dry Natural Gas","{EIA_dataset}.{EIA_scenario}.SUP_PRD_TEN_NA_DNG_NA_USA_QBTU.A",1,"",""
"Primary Energy|Fossil","Total Energy : Production : Natural Gas Plant Liquids","{EIA_dataset}.{EIA_scenario}.SUP_PRD_TEN_NA_NGP_NA_USA_QBTU.A",1,"",""
"Primary Energy|Coal","Total Energy : Production : Coal","{EIA_dataset}.{EIA_scenario}.SUP_PRD_TEN_NA_CL_NA_USA_QBTU.A",1,"",""
"Primary Energy|Coal","Total Energy : Exports : Coal","{EIA_dataset}.{EIA_scenario}.TRAD_EXP_TEN_NA_CL_NA_USA_QBTU.A",-1,"",""
"Primary Energy|Biomass","Total Energy : Use : Biomass","{EIA_dataset}.{EIA_scenario}.CNSM_USE_TEN_NA_BMS_NA_USA_QBTU.A",1,"",""
"Primary Energy","Total Energy : Production : Total","{EIA_dataset}.{EIA_scenario}.SUP_PRD_TEN_NA_TOT_NA_USA_QBTU.A",1,"",""
"Primary Energy","Total Energy : Imports : Total","{EIA_dataset}.{EIA_scenario}.TRAD_IMP_TEN_NA_TOT_NA_USA_QBTU.A",1,"",""
"Primary Energy","Total Energy : Exports : Total","{EIA_dataset}.{EIA_scenario}.TRAD_EXP_TEN_NA_TOT_NA_USA_QBTU.A",-1,"subtract out exports",""
"Price|Primary Energy|Oil","Real Petroleum Prices : Crude Oil : West Texas Intermediate Spot","{EIA_dataset}.{EIA_scenario}.PRCE_NA_NA_NA_CR_WTI_USA_Y13DLRPBBL.A",1,"",""
"Price|Primary Energy|Gas","Natural Gas : Henry Hub Spot Price","{EIA_dataset}.{EIA_scenario}.PRCE_HHP_NA_NA_NG_NA_USA_Y13DLRPMMBTU.A",1,"",""
"Price|Primary Energy|Coal","Coal Supply : Average Minemouth Price","{EIA_dataset}.{EIA_scenario}.PRCE_NA_NA_NA_CL_MNMTH_NA_Y13DLRPMMBTU.A",1,"",""
"Price|Final Energy|Transportation|Oil|Jet Fuel","trn jet fuel price","{EIA_dataset}.{EIA_scenario}.PRCE_REAL_TRN_NA_JFL_NA_NA_Y13DLRPMMBTU.A",1,"",""
"Price|Final Energy|Transportation|Oil|Gasoline","trn gasoline price","{EIA_dataset}.{EIA_scenario}.PRCE_REAL_TRN_NA_MGS_NA_NA_Y13DLRPMMBTU.A",1,"",""
"Price|Final Energy|Transportation|Oil|Diesel","Energy Prices : Transportation : Diesel Fuel, United States","{EIA_dataset}.{EIA_scenario}.PRCE_REAL_TRN_NA_DFU_NA_NA_Y13DLRPMMBTU.A",1,"",""
"Price|Final Energy|Transportation|Gas","trn gas price","{EIA_dataset}.{EIA_scenario}.PRCE_REAL_TRN_NA_NG_NA_NA_Y13DLRPMMBTU.A",1,"",""
"Price|Final Energy|Transportation|Electricity","trn elc price","{EIA_dataset}.{EIA_scenario}.PRCE_REAL_TRN_NA_ELC_NA_NA_Y13DLRPMMBTU.A",1,"",""
"Price|Final Energy|Residential|Oil","res oil price","{EIA_dataset}.{EIA_scenario}.PRCE_REAL_RESD_NA_PROP_NA_NA_Y13DLRPMMBTU.A",1,"",""
"Price|Final Energy|Residential|Gas","res gas price","{EIA_dataset}.{EIA_scenario}.PRCE_REAL_RESD_NA_NG_NA_NA_Y13DLRPMMBTU.A",1,"",""
"Price|Final Energy|Residential|Electricity","res elc price","{EIA_dataset}.{EIA_scenario}.PRCE_REAL_RESD_NA_ELC_NA_NA_Y13DLRPMMBTU.A",1,"",""
"Price|Final Energy|Oil","oil price","{EIA_dataset}.{EIA_scenario}.PRCE_REAL_TEN_NA_MGS_NA_NA_Y13DLRPMMBTU.A",1,"",""
"Price|Final Energy|Industrial|Oil","ind oil price","{EIA_dataset}.{EIA_scenario}.PRCE_REAL_IDAL_NA_DFO_NA_NA_Y13DLRPMMBTU.A",1,"",""
"Price|Final Energy|Industrial|Gas","ind gas price","{EIA_dataset}.{EIA_scenario}.PRCE_REAL_IDAL_NA_NG_NA_NA_Y13DLRPMMBTU.A",1,"",""
"Price|Final Energy|Industrial|Electricity","ind elc price","{EIA_dataset}.{EIA_scenario}.PRCE_REAL_IDAL_NA_ELC_NA_NA_Y13DLRPMMBTU.A",1,"",""
"Price|Final Energy|Gas","Energy Prices : Average Price to All Users : Natural Gas, United States","{EIA_dataset}.{EIA_scenario}.PRCE_REAL_TEN_NA_NG_NA_NA_Y13DLRPMMBTU.A",1,"",""
"Price|Final Energy|Electricity","elc price","{EIA_dataset}.{EIA_scenario}.PRCE_REAL_TEN_NA_ELC_NA_NA_Y13DLRPMMBTU.A",1,"",""
"Price|Final Energy|Commercial|Oil","com oil price","{EIA_dataset}.{EIA_scenario}.PRCE_REAL_COMM_NA_DFO_NA_NA_Y13DLRPMMBTU.A",1,"",""
"Price|Final Energy|Commercial|Gas","com gas price","{EIA_dataset}.{EIA_scenario}.PRCE_REAL_COMM_NA_NG_NA_NA_Y13DLRPMMBTU.A",1,"",""
"Price|Final Energy|Commercial|Electricity","com elc price","{EIA_dataset}.{EIA_scenario}.PRCE_REAL_COMM_NA_ELC_NA_NA_Y13DLRPMMBTU.A",1,"",""
"Output|Industry|NonEInt Mfg|Wood Products|Value","Other Manufacturing : Wood Products : Value of Shipments","{EIA_dataset}.{EIA_scenario}.ECI_VOS_IDAL_WDP_NA_NA_NA_BLNY09DLR.A",1,". ",""
"Output|Industry|NonEInt Mfg|Plastic & rubber|Value","Other Manufacturing : Plastics : Value of Shipments","{EIA_dataset}.{EIA_scenario}.ECI_VOS_IDAL_PLI_NA_NA_NA_BLNY09DLR.A",1,". ",""
"Output|Industry|NonEInt Mfg|Metal durables|Transport equip|Value","Metal Based Durables : Transportation Equipment : Value of Shipments","{EIA_dataset}.{EIA_scenario}.ECI_VOS_IDAL_TEQ_NA_NA_NA_BLNY09DLR.A",1,". ",""
"Output|Industry|NonEInt Mfg|Metal durables|Machinery|Value","Metal Based Durables :  Machinery : Value of Shipments","{EIA_dataset}.{EIA_scenario}.ECI_VOS_IDAL_MCHI_NA_NA_NA_BLNY09DLR.A",1,". ",""
"Output|Industry|NonEInt Mfg|Metal durables|Fab metal|Value","Metal Based Durables : Fabricated Metal Products : Value of Shipments","{EIA_dataset}.{EIA_scenario}.ECI_VOS_IDAL_FBP_NA_NA_NA_BLNY09DLR.A",1,". ",""
"Output|Industry|NonEInt Mfg|Metal durables|Computer|Value","Metal Based Durables : Computers : Value of Shipments","{EIA_dataset}.{EIA_scenario}.ECI_VOS_IDAL_CMPR_NA_NA_NA_BLNY09DLR.A",1,". ",""
"Output|Industry|NonEInt Mfg|Metal durables|Appliances|Value","Metal Based Durables : Electrical Equipment : Value of Shipments","{EIA_dataset}.{EIA_scenario}.ECI_VOS_IDAL_EEI_NA_NA_NA_BLNY09DLR.A",1,". ",""
"Output|Industry|NonEInt Mfg|Balance of manufacturing|Value","Other Manufacturing : Balance of Manufacturing : Value of Shipments","{EIA_dataset}.{EIA_scenario}.ECI_VOS_IDAL_BMF_NA_NA_NA_BLNY09DLR.A",1,". ",""
"Output|Industry|Non Mfg|Other mining|Value","Nonmanufacturing : Mining : Value of Shipments","{EIA_dataset}.{EIA_scenario}.ECI_VOS_IDAL_MING_NA_NA_NA_BLNY09DLR.A",1,". Extent of EIA mining sector is unclear",""
"Output|Industry|Non Mfg|Construction|Value","Nonmanufacturing : Construction : Value of Shipments","{EIA_dataset}.{EIA_scenario}.ECI_VOS_IDAL_CNS_NA_NA_NA_BLNY09DLR.A",1,". ",""
"Output|Industry|Non Mfg|Agriculture|Value","Nonmanufacturing : Agriculture : Value of Shipments","{EIA_dataset}.{EIA_scenario}.ECI_VOS_IDAL_AGG_NA_NA_NA_BLNY09DLR.A",1,". ",""
"Output|Industry|EInt Mfg|Paper|Value","Paper Industry : Value of Shipments","{EIA_dataset}.{EIA_scenario}.ECI_VOS_IDAL_PPM_NA_NA_NA_BLNY09DLR.A",1,". ",""
"Output|Industry|EInt Mfg|Iron and steel|Value","Iron and Steel : Value of Shipments","{EIA_dataset}.{EIA_scenario}.ECI_VOS_IDAL_ISM_NA_NA_NA_BLNY09DLR.A",1,". ",""
"Output|Industry|EInt Mfg|Glass|Value","Glass Industry : Value of Shipments","{EIA_dataset}.{EIA_scenario}.ECI_VOS_IDAL_GGR_NA_NA_NA_BLNY09DLR.A",1,". ",""
"Output|Industry|EInt Mfg|Food products|Value","Food Industry : Value of Shipments","{EIA_dataset}.{EIA_scenario}.ECI_VOS_IDAL_FDP_NA_NA_NA_BLNY09DLR.A",1,". ",""
"Output|Industry|EInt Mfg|Cement and lime|Value","Cement Industry : Value of Shipments","{EIA_dataset}.{EIA_scenario}.ECI_VOS_IDAL_CEM_NA_NA_NA_BLNY09DLR.A",1,". ",""
"Output|Industry|EInt Mfg|Bulk chemicals|Value","Bulk Chemical : Value of Shipments","{EIA_dataset}.{EIA_scenario}.ECI_VOS_IDAL_BCH_NA_NA_NA_BLNY09DLR.A",1,". ",""
"Output|Industry|EInt Mfg|Aluminum|Value","Aluminum Industry : Value of Shipments","{EIA_dataset}.{EIA_scenario}.ECI_VOS_IDAL_AAP_NA_NA_NA_BLNY09DLR.A",1,". ",""
"GDP|MER","Macroeconomic Indicators : Real Gross Domestic Product","{EIA_dataset}.{EIA_scenario}.ECI_NA_NA_NA_GDP_REAL_NA_BLNY09DLR.A",1,"",""
"GDP|Investment","Macroeconomic Indicators : GDP Components : Real Business Fixed Investment","{EIA_dataset}.{EIA_scenario}.ECI_NA_NA_NA_GDP_RINV_NA_BLNY09DLR.A",1,"",""
"GDP|Imports","Macroeconomic Indicators : GDP Components : Real Imports","{EIA_dataset}.{EIA_scenario}.ECI_NA_NA_NA_GDP_RIMP_NA_BLNY09DLR.A",1,"",""
"GDP|Government","Macroeconomic Indicators : GDP Components : Real Government Spending","{EIA_dataset}.{EIA_scenario}.ECI_NA_NA_NA_GDP_RGSP_NA_BLNY09DLR.A",1,"",""
"GDP|Exports","Macroeconomic Indicators : GDP Components : Real Exports","{EIA_dataset}.{EIA_scenario}.ECI_NA_NA_NA_GDP_REXP_NA_BLNY09DLR.A",1,"",""
"GDP|Consumption","Macroeconomic Indicators : GDP Components : Real Consumption","{EIA_dataset}.{EIA_scenario}.ECI_NA_NA_NA_GDP_RCNSP_NA_BLNY09DLR.A",1,"",""
"Final Energy|Transportation|Electricity","Energy Use : Transportation : Electricity, United States","{EIA_dataset}.{EIA_scenario}.CNSM_ENU_TRN_NA_ELC_NA_NA_QBTU.A",1,"",""
"Final Energy|Transportation","Energy Use : Transportation : Total, United States","{EIA_dataset}.{EIA_scenario}.CNSM_ENU_TRN_NA_TOT_NA_NA_QBTU.A",1,"",""
