Variable,Series_Name,Series_template,Factor,notes,notes_variable
GDP|MER,Macroeconomic Indicators : Real Gross Domestic Product,{EIA_dataset}.{EIA_scenario}.ECI_NA_NA_NA_GDP_REAL_NA_BLNY09DLR.A,1,,
Price|Final Energy|Electricity,Electricity : End-Use Prices : All Sectors Average,{EIA_dataset}.{EIA_scenario}.PRCE_NA_ELEP_NA_EDU_NA_USA_Y13CNTPKWH.A,1,,
,"Energy Prices : Average Price to All Users : Electricity, United States",{EIA_dataset}.{EIA_scenario}.PRCE_REAL_TEN_NA_ELC_NA_NA_Y13DLRPMMBTU.A,1,Alternate electricity price,Price|Electricity|Average Price to All Users
Price|Primary Energy|Gas,Natural Gas : Henry Hub Spot Price,{EIA_dataset}.{EIA_scenario}.PRCE_HHP_NA_NA_NG_NA_USA_Y13DLRPMMBTU.A,1,,
Price|Primary Energy|Coal,Coal Supply : Average Minemouth Price,{EIA_dataset}.{EIA_scenario}.PRCE_NA_NA_NA_CL_MNMTH_NA_Y13DLRPMMBTU.A,1,,
Price|Primary Energy|Oil,Real Petroleum Prices : Crude Oil : West Texas Intermediate Spot,{EIA_dataset}.{EIA_scenario}.PRCE_NA_NA_NA_CR_WTI_USA_Y13DLRPBBL.A,1,,
Primary Energy|Hydro,Renewable Energy : Marketed Use : Electric Power : Hydropower,{EIA_dataset}.{EIA_scenario}.CNSM_NA_ELEP_NA_HYD_CNV_NA_QBTU.A,1,,
Primary Energy|Hydro,Renewable Energy : Marketed Use : Industrial : Hydropower,{EIA_dataset}.{EIA_scenario}.CNSM_NA_IDAL_NA_HYD_CNV_NA_QBTU.A,1,,
Primary Energy|Coal|Electricity,"Electricity : Electric Power Sector : Generation : Coal, United States",{EIA_dataset}.{EIA_scenario}.GEN_NA_ELEP_NA_CL_NA_NA_BLNKWH.A,1,,
Primary Energy|Gas|Electricity,"Electricity : Electric Power Sector : Generation : Natural Gas, United States",{EIA_dataset}.{EIA_scenario}.GEN_NA_ELEP_NA_NG_NA_NA_BLNKWH.A,1,,
Primary Energy|Geothermal,Renewable Energy : All Sectors : Generation : Geothermal,{EIA_dataset}.{EIA_scenario}.GEN_NA_ALLS_NA_GEOTHM_NA_NA_BLNKWH.A,1,,
Primary Energy|Nuclear,Total Energy : Production : Nuclear,{EIA_dataset}.{EIA_scenario}.SUP_PRD_TEN_NA_NUC_NA_USA_QBTU.A,1,,
,"Electricity : Electric Power Sector : Generation : Nuclear, United States",{EIA_dataset}.{EIA_scenario}.GEN_NA_ELEP_NA_NUC_NA_NA_BLNKWH.A,1,add to EMF template?,Primary Energy|Nuclear|Electricity
Primary Energy|Oil|Electricity,"Electricity : Electric Power Sector : Generation : Petroleum, United States",{EIA_dataset}.{EIA_scenario}.GEN_NA_ELEP_NA_PET_NA_NA_BLNKWH.A,1,,
Primary Energy,Total Energy : Production : Total,{EIA_dataset}.{EIA_scenario}.SUP_PRD_TEN_NA_TOT_NA_USA_QBTU.A,1,,
Primary Energy,Total Energy : Imports : Total,{EIA_dataset}.{EIA_scenario}.TRAD_IMP_TEN_NA_TOT_NA_USA_QBTU.A,1,,
