model	scenario	region	variable	unit	2020	2030	2040
AEO.2020	REF2020	USA	Final Energy|Industry|EInt Mfg|Cement and lime|Coal	EJ/yr	0.15	0.15	0.11
AEO.2020	REF2020	USA	Final Energy|Industry|EInt Mfg|Cement and lime|Electricity	EJ/yr	0.04	0.04	0.04
AEO.2020	REF2020	USA	Final Energy|Industry|EInt Mfg|Cement and lime|Gas	EJ/yr	0.02	0.02	0.04
AEO.2020	REF2020	USA	Final Energy|Industry|EInt Mfg|Cement and lime|Oil	EJ/yr	0.05	0.05	0.06
AEO.2020	REF2020	USA	Final Energy|Industry|EInt Mfg|Food products|Biomass Solids	EJ/yr	0.16	0.23	0.28
AEO.2020	REF2020	USA	Final Energy|Industry|EInt Mfg|Food products|Coal	EJ/yr	0.1	0.13	0.13
AEO.2020	REF2020	USA	Final Energy|Industry|EInt Mfg|Food products|Electricity	EJ/yr	0.25	0.3	0.33
AEO.2020	REF2020	USA	Final Energy|Industry|EInt Mfg|Food products|Gas	EJ/yr	0.72	0.69	0.73
AEO.2020	REF2020	USA	Final Energy|Industry|EInt Mfg|Food products|Oil	EJ/yr	0.03	0.01	0.01
AEO.2020	REF2020	USA	Final Energy|Industry|EInt Mfg|Glass|Coal	EJ/yr	0	0	0
AEO.2020	REF2020	USA	Final Energy|Industry|EInt Mfg|Glass|Electricity	EJ/yr	0.02	0.03	0.03
AEO.2020	REF2020	USA	Final Energy|Industry|EInt Mfg|Glass|Gas	EJ/yr	0.23	0.23	0.24
AEO.2020	REF2020	USA	Final Energy|Industry|EInt Mfg|Glass|Oil	EJ/yr	0	0	0
AEO.2020	REF2020	USA	Final Energy|Industry|EInt Mfg|Iron and steel|Biomass Solids	EJ/yr	0	0	0
AEO.2020	REF2020	USA	Final Energy|Industry|EInt Mfg|Iron and steel|Coal	EJ/yr	0.08	0.08	0.07
AEO.2020	REF2020	USA	Final Energy|Industry|EInt Mfg|Iron and steel|Electricity	EJ/yr	0.21	0.22	0.22
AEO.2020	REF2020	USA	Final Energy|Industry|EInt Mfg|Iron and steel|Gas	EJ/yr	0.48	0.44	0.39
AEO.2020	REF2020	USA	Final Energy|Industry|EInt Mfg|Iron and steel|Oil	EJ/yr	0.01	0.03	0.03
AEO.2020	REF2020	USA	Final Energy|Industry|EInt Mfg|Paper|Biomass Solids	EJ/yr	0.9	1.04	1.1
AEO.2020	REF2020	USA	Final Energy|Industry|EInt Mfg|Paper|Coal	EJ/yr	0.04	0.04	0.03
AEO.2020	REF2020	USA	Final Energy|Industry|EInt Mfg|Paper|Electricity	EJ/yr	0.21	0.22	0.19
AEO.2020	REF2020	USA	Final Energy|Industry|EInt Mfg|Paper|Gas	EJ/yr	0.36	0.34	0.33
AEO.2020	REF2020	USA	Final Energy|Industry|EInt Mfg|Paper|Oil	EJ/yr	0.01	0.01	0.01
AEO.2020	REF2020	USA	Final Energy|Industry|Electricity	EJ/yr	3.36	3.82	4.04
AEO.2020	REF2020	USA	Final Energy|Industry|Non Mfg|Agriculture|Biomass Solids	EJ/yr	0.14	0.16	0.17
AEO.2020	REF2020	USA	Final Energy|Industry|Non Mfg|Agriculture|Coal	EJ/yr	0	0	0
AEO.2020	REF2020	USA	Final Energy|Industry|Non Mfg|Agriculture|Electricity	EJ/yr	0.27	0.32	0.35
