model	scenario	region	variable	unit	2020	2030	2040
AEO.2021	REF2021	USA	Final Energy|Industry|EInt Mfg|Aluminum|Electricity	EJ/yr	0.07	0.08	0.08
AEO.2021	REF2021	USA	Final Energy|Industry|EInt Mfg|Aluminum|Gas	EJ/yr	0.11	0.11	0.12
AEO.2021	REF2021	USA	Final Energy|Industry|EInt Mfg|Aluminum|Oil	EJ/yr	0	0.01	0.01
AEO.2021	REF2021	USA	Final Energy|Industry|EInt Mfg|Cement and lime|Biomass Solids	EJ/yr	0.08	0.05	0.04
AEO.2021	REF2021	USA	Final Energy|Industry|EInt Mfg|Cement and lime|Coal	EJ/yr	0.16	0.11	0.07
AEO.2021	REF2021	USA	Final Energy|Industry|EInt Mfg|Cement and lime|Electricity	EJ/yr	0.05	0.04	0.04
AEO.2021	REF2021	USA	Final Energy|Industry|EInt Mfg|Cement and lime|Gas	EJ/yr	0.03	0.03	0.03
AEO.2021	REF2021	USA	Final Energy|Industry|EInt Mfg|Cement and lime|Oil	EJ/yr	0.01	0.01	0.01
AEO.2021	REF2021	USA	Final Energy|Industry|EInt Mfg|Food products|Biomass Solids	EJ/yr	0.12	0.16	0.2
AEO.2021	REF2021	USA	Final Energy|Industry|EInt Mfg|Food products|Coal	EJ/yr	0.12	0.13	0.13
AEO.2021	REF2021	USA	Final Energy|Industry|EInt Mfg|Food products|Electricity	EJ/yr	0.25	0.31	0.36
AEO.2021	REF2021	USA	Final Energy|Industry|EInt Mfg|Food products|Gas	EJ/yr	0.73	0.85	0.91
AEO.2021	REF2021	USA	Final Energy|Industry|EInt Mfg|Food products|Oil	EJ/yr	0.03	0.02	0.02
AEO.2021	REF2021	USA	Final Energy|Industry|EInt Mfg|Glass|Coal	EJ/yr	0	0	0
AEO.2021	REF2021	USA	Final Energy|Industry|EInt Mfg|Glass|Electricity	EJ/yr	0.04	0.05	0.05
AEO.2021	REF2021	USA	Final Energy|Industry|EInt Mfg|Glass|Gas	EJ/yr	0.15	0.13	0.12
AEO.2021	REF2021	USA	Final Energy|Industry|EInt Mfg|Glass|Oil	EJ/yr	0	0	0
AEO.2021	REF2021	USA	Final Energy|Industry|EInt Mfg|Iron and steel|Biomass Solids	EJ/yr	0	0	0
AEO.2021	REF2021	USA	Final Energy|Industry|EInt Mfg|Iron and steel|Coal	EJ/yr	0.03	0.03	0.03
AEO.2021	REF2021	USA	Final Energy|Industry|EInt Mfg|Iron and steel|Electricity	EJ/yr	0.19	0.2	0.2
AEO.2021	REF2021	USA	Final Energy|Industry|EInt Mfg|Iron and steel|Gas	EJ/yr	0.43	0.39	0.28
AEO.2021	REF2021	USA	Final Energy|Industry|EInt Mfg|Iron and steel|Oil	EJ/yr	0	0	0
AEO.2021	REF2021	USA	Final Energy|Industry|EInt Mfg|Paper|Biomass Solids	EJ/yr	0.99	1.01	1.01
AEO.2021	REF2021	USA	Final Energy|Industry|EInt Mfg|Paper|Coal	EJ/yr	0.04	0.04	0.05
AEO.2021	REF2021	USA	Final Energy|Industry|EInt Mfg|Paper|Electricity	EJ/yr	0.16	0.15	0.13
AEO.2021	REF2021	USA	Final Energy|Industry|EInt Mfg|Paper|Gas	EJ/yr	0.53	0.5	0.47
AEO.2021	REF2021	USA	Final Energy|Industry|EInt Mfg|Paper|Oil	EJ/yr	0.01	0.01	0.01
AEO.2021	REF2021	USA	Final Energy|Industry|Electricity	EJ/yr	3.24	3.71	3.93
AEO.2021	REF2021	USA	Final Energy|Industry|Non Mfg|Agriculture|Biomass Solids	EJ/yr	0.12	0.15	0.17
AEO.2021	REF2021	USA	Final Energy|Industry|Non Mfg|Agriculture|Coal	EJ/yr	0	0	0
AEO.2021	REF2021	USA	Final Energy|Industry|Non Mfg|Agriculture|Electricity	EJ/yr	0.26	0.33	0.39
AEO.2021	REF2021	USA	Final Energy|Industry|Non Mfg|Agriculture|Gas	EJ/yr	0.21	0.23	0.26
AEO.2021	REF2021	USA	Final Energy|Industry|Non Mfg|Agriculture|Oil	EJ/yr	0.62	0.81	0.93
AEO.2021	REF2021	USA	Final Energy|Industry|Non Mfg|Construction|Electricity	EJ/yr	0.17	0.21	0.23
AEO.2021	REF2021	USA	Final Energy|Industry|Non Mfg|Construction|Gas	EJ/yr	0.01	0.01	0.01
AEO.2021	REF2021	USA	Final Energy|Industry|Non Mfg|Construction|Oil	EJ/yr	0.79	0.97	1.11
AEO.2021	REF2021	USA	Final Energy|Industry|Non Mfg|Other mining|Biomass Solids	EJ/yr	0.01	0.01	0.01
AEO.2021	REF2021	USA	Final Energy|Industry|Non Mfg|Other mining|Coal	EJ/yr	0.09	0.09	0.1
AEO.2021	REF2021	USA	Final Energy|Industry|Non Mfg|Other mining|Electricity	EJ/yr	0.33	0.36	0.37
AEO.2021	REF2021	USA	Final Energy|Industry|Non Mfg|Other mining|Gas	EJ/yr	2.43	2.7	2.88
AEO.2021	REF2021	USA	Final Energy|Industry|Non Mfg|Other mining|Oil	EJ/yr	0.23	0.26	0.26
AEO.2021	REF2021	USA	Final Energy|Industry|NonEInt Mfg|Balance of manufacturing|Biomass Solids	EJ/yr	0.04	0.05	0.06
AEO.2021	REF2021	USA	Final Energy|Industry|NonEInt Mfg|Balance of manufacturing|Coal	EJ/yr	0.05	0.06	0.07
AEO.2021	REF2021	USA	Final Energy|Industry|NonEInt Mfg|Balance of manufacturing|Gas	EJ/yr	0.82	1	1.15
AEO.2021	REF2021	USA	Final Energy|Industry|NonEInt Mfg|Balance of manufacturing|Oil	EJ/yr	0.13	0.11	0.11
AEO.2021	REF2021	USA	Final Energy|Industry|NonEInt Mfg|Metal durables|Appliances|Biomass Solids	EJ/yr	0	0	0
AEO.2021	REF2021	USA	Final Energy|Industry|NonEInt Mfg|Metal durables|Appliances|Coal	EJ/yr	0	0	0
AEO.2021	REF2021	USA	Final Energy|Industry|NonEInt Mfg|Metal durables|Appliances|Gas	EJ/yr	0.04	0.04	0.04
AEO.2021	REF2021	USA	Final Energy|Industry|NonEInt Mfg|Metal durables|Appliances|Oil	EJ/yr	0.01	0.01	0.02
AEO.2021	REF2021	USA	Final Energy|Industry|NonEInt Mfg|Metal durables|Computer|Biomass Solids	EJ/yr	0	0	0
AEO.2021	REF2021	USA	Final Energy|Industry|NonEInt Mfg|Metal durables|Computer|Coal	EJ/yr	0	0	0
AEO.2021	REF2021	USA	Final Energy|Industry|NonEInt Mfg|Metal durables|Computer|Gas	EJ/yr	0.06	0.07	0.07
AEO.2021	REF2021	USA	Final Energy|Industry|NonEInt Mfg|Metal durables|Computer|Oil	EJ/yr	0	0	0
AEO.2021	REF2021	USA	Final Energy|Industry|NonEInt Mfg|Metal durables|Fab metal|Biomass Solids	EJ/yr	0	0	0
AEO.2021	REF2021	USA	Final Energy|Industry|NonEInt Mfg|Metal durables|Fab metal|Coal	EJ/yr	0	0	0
AEO.2021	REF2021	USA	Final Energy|Industry|NonEInt Mfg|Metal durables|Fab metal|Gas	EJ/yr	0.22	0.23	0.24
AEO.2021	REF2021	USA	Final Energy|Industry|NonEInt Mfg|Metal durables|Fab metal|Oil	EJ/yr	0.01	0.01	0.01
AEO.2021	REF2021	USA	Final Energy|Industry|NonEInt Mfg|Metal durables|Machinery|Biomass Solids	EJ/yr	0	0	0
AEO.2021	REF2021	USA	Final Energy|Industry|NonEInt Mfg|Metal durables|Machinery|Coal	EJ/yr	0	0	0
AEO.2021	REF2021	USA	Final Energy|Industry|NonEInt Mfg|Metal durables|Machinery|Gas	EJ/yr	0.08	0.08	0.08
AEO.2021	REF2021	USA	Final Energy|Industry|NonEInt Mfg|Metal durables|Machinery|Oil	EJ/yr	0.01	0.01	0.01
AEO.2021	REF2021	USA	Final Energy|Industry|NonEInt Mfg|Metal durables|Transport equip|Biomass Solids	EJ/yr	0	0	0
AEO.2021	REF2021	USA	Final Energy|Industry|NonEInt Mfg|Metal durables|Transport equip|Coal	EJ/yr	0	0	0
AEO.2021	REF2021	USA	Final Energy|Industry|NonEInt Mfg|Metal durables|Transport equip|Gas	EJ/yr	0.17	0.17	0.19
AEO.2021	REF2021	USA	Final Energy|Industry|NonEInt Mfg|Metal durables|Transport equip|Oil	EJ/yr	0.01	0.01	0.01
AEO.2021	REF2021	USA	Final Energy|Industry|NonEInt Mfg|Plastic & rubber|Biomass Solids	EJ/yr	0	0	0
AEO.2021	REF2021	USA	Final Energy|Industry|NonEInt Mfg|Plastic & rubber|Coal	EJ/yr	0	0	0
AEO.2021	REF2021	USA	Final Energy|Industry|NonEInt Mfg|Plastic & rubber|Gas	EJ/yr	0.11	0.13	0.14
AEO.2021	REF2021	USA	Final Energy|Industry|NonEInt Mfg|Plastic & rubber|Oil	EJ/yr	0.01	0.01	0.01
AEO.2021	REF2021	USA	Final Energy|Industry|NonEInt Mfg|Wood Products|Biomass Solids	EJ/yr	0.26	0.29	0.3
AEO.2021	REF2021	USA	Final Energy|Industry|NonEInt Mfg|Wood Products|Coal	EJ/yr	0	0	0
AEO.2021	REF2021	USA	Final Energy|Industry|NonEInt Mfg|Wood Products|Gas	EJ/yr	0.07	0.07	0.07
AEO.2021	REF2021	USA	Final Energy|Industry|NonEInt Mfg|Wood Products|Oil	EJ/yr	0.02	0.02	0.02
AEO.2021	REF2021	USA	Final Energy|Transportation	EJ/yr	26.05	27.93	28.08
AEO.2021	REF2021	USA	Final Energy|Transportation|Electricity	EJ/yr	0.04	0.1	0.24
AEO.2021	REF2021	USA	GDP|Consumption	billion US$2018/yr	13124.71	17210.1	21889.57
AEO.2021	REF2021	USA	GDP|Exports	billion US$2018/yr	2297.32	3749.9	4773.72
AEO.2021	REF2021	USA	GDP|Government	billion US$2018/yr	3519.43	3690.08	3964.29
AEO.2021	REF2021	USA	GDP|Imports	billion US$2018/yr	3099.33	4796.32	6875.5
AEO.2021	REF2021	USA	GDP|Investment	billion US$2018/yr	2691.31	3827.31	5033.71
AEO.2021	REF2021	USA	GDP|MER	billion US$2018/yr	18992.51	24341.19	29652.62
AEO.2021	REF2021	USA	Output|Industry|EInt Mfg|Aluminum|Value	billion US$2018/yr	36.06	44.46	48.64
AEO.2021	REF2021	USA	Output|Industry|EInt Mfg|Bulk chemicals|Value	billion US$2018/yr	444.29	532.06	587
AEO.2021	REF2021	USA	Output|Industry|EInt Mfg|Cement and lime|Value	billion US$2018/yr	14.78	17.25	19.53
AEO.2021	REF2021	USA	Output|Industry|EInt Mfg|Food products|Value	billion US$2018/yr	932.52	1176.57	1406.13
AEO.2021	REF2021	USA	Output|Industry|EInt Mfg|Glass|Value	billion US$2018/yr	21.95	26.11	29.74
AEO.2021	REF2021	USA	Output|Industry|EInt Mfg|Iron and steel|Value	billion US$2018/yr	113.34	116.33	118.68
AEO.2021	REF2021	USA	Output|Industry|EInt Mfg|Paper|Value	billion US$2018/yr	175.82	187.26	190.78
AEO.2021	REF2021	USA	Output|Industry|Non Mfg|Agriculture|Value	billion US$2018/yr	520.55	637.42	741.85
AEO.2021	REF2021	USA	Output|Industry|Non Mfg|Construction|Value	billion US$2018/yr	1378.9	1605.75	1857.84
AEO.2021	REF2021	USA	Output|Industry|Non Mfg|Other mining|Value	billion US$2018/yr	750.35	843.86	853.49
AEO.2021	REF2021	USA	Output|Industry|NonEInt Mfg|Metal durables|Appliances|Value	billion US$2018/yr	126.61	147.8	171.47
AEO.2021	REF2021	USA	Output|Industry|NonEInt Mfg|Metal durables|Machinery|Value	billion US$2018/yr	341.93	404.9	462.55
AEO.2021	REF2021	USA	Output|Industry|NonEInt Mfg|Metal durables|Transport equip|Value	billion US$2018/yr	735.47	930.09	1158.04
AEO.2021	REF2021	USA	Price|Final Energy|Commercial|Electricity	US$2018/GJ	30.3	29.74	28.66
AEO.2021	REF2021	USA	Price|Final Energy|Commercial|Gas	US$2018/GJ	6.99	7.93	8.17
AEO.2021	REF2021	USA	Price|Final Energy|Commercial|Oil	US$2018/GJ	17.24	19.55	21.38
AEO.2021	REF2021	USA	Price|Final Energy|Electricity	US$2018/GJ	29.53	29.14	28.55
AEO.2021	REF2021	USA	Price|Final Energy|Gas	US$2018/GJ	4.38	5.51	5.66
AEO.2021	REF2021	USA	Price|Final Energy|Industrial|Electricity	US$2018/GJ	20.04	18.92	18.36
AEO.2021	REF2021	USA	Price|Final Energy|Industrial|Gas	US$2018/GJ	2.96	4.06	4.22
AEO.2021	REF2021	USA	Price|Final Energy|Industrial|Oil	US$2018/GJ	17.17	19.3	21.09
AEO.2021	REF2021	USA	Price|Final Energy|Oil	US$2018/GJ	18.13	22.52	25.1
AEO.2021	REF2021	USA	Price|Final Energy|Residential|Electricity	US$2018/GJ	34.6	35.34	34.96
AEO.2021	REF2021	USA	Price|Final Energy|Residential|Gas	US$2018/GJ	9.81	10.63	11.07
AEO.2021	REF2021	USA	Price|Final Energy|Residential|Oil	US$2018/GJ	16.73	20.61	23.37
AEO.2021	REF2021	USA	Price|Final Energy|Transportation|Electricity	US$2018/GJ	33.7	33.7	33.4
AEO.2021	REF2021	USA	Price|Final Energy|Transportation|Gas	US$2018/GJ	12.59	12.34	11.2
AEO.2021	REF2021	USA	Price|Final Energy|Transportation|Oil|Diesel	US$2018/GJ	17.73	23.16	24.91
AEO.2021	REF2021	USA	Price|Final Energy|Transportation|Oil|Gasoline	US$2018/GJ	18.14	22.51	25.09
AEO.2021	REF2021	USA	Price|Final Energy|Transportation|Oil|Jet Fuel	US$2018/GJ	9.26	15.91	18.31
AEO.2021	REF2021	USA	Price|Primary Energy|Coal	US$2018/GJ	1.62	1.4	1.5
AEO.2021	REF2021	USA	Price|Primary Energy|Gas	US$2018/GJ	2	3.23	3.43
AEO.2021	REF2021	USA	Price|Primary Energy|Oil	US$2018/GJ	6.58	11.98	14.3
AEO.2021	REF2021	USA	Primary Energy	EJ/yr	98.83	104.41	107.92
AEO.2021	REF2021	USA	Primary Energy|Biomass	EJ/yr	3.22	3.29	3.35
AEO.2021	REF2021	USA	Primary Energy|Coal	EJ/yr	9.48	8.08	7.23
AEO.2021	REF2021	USA	Primary Energy|Fossil	EJ/yr	77.14	78.8	80.18
AEO.2021	REF2021	USA	Primary Energy|Gas	EJ/yr	30.56	30.19	31.79
AEO.2021	REF2021	USA	Primary Energy|Geothermal	EJ/yr	0.06	0.09	0.14
AEO.2021	REF2021	USA	Primary Energy|Hydro	EJ/yr	2.67	2.56	2.48
AEO.2021	REF2021	USA	Primary Energy|Nuclear	EJ/yr	8.66	6.95	6.56
AEO.2021	REF2021	USA	Primary Energy|Oil	EJ/yr	35.4	38.91	39.44
AEO.2021	REF2021	USA	Secondary Energy|Electricity	EJ/yr	14.62	16.11	17.54
AEO.2021	REF2021	USA	Secondary Energy|Electricity|Biomass	EJ/yr	0.15	0.19	0.23
AEO.2021	REF2021	USA	Secondary Energy|Electricity|Coal	EJ/yr	2.79	2.5	2.23
AEO.2021	REF2021	USA	Secondary Energy|Electricity|Gas	EJ/yr	5.89	5.62	6.14
AEO.2021	REF2021	USA	Secondary Energy|Electricity|Geothermal	EJ/yr	0.06	0.09	0.14
AEO.2021	REF2021	USA	Secondary Energy|Electricity|Hydro	EJ/yr	1.01	1.06	1.06
AEO.2021	REF2021	USA	Secondary Energy|Electricity|Nuclear	EJ/yr	2.83	2.27	2.14
AEO.2021	REF2021	USA	Secondary Energy|Electricity|Oil	EJ/yr	0.06	0.03	0.03
AEO.2021	REF2021	USA	Secondary Energy|Electricity|Solar	EJ/yr	0.31	1.42	2.15
AEO.2021	REF2021	USA	Secondary Energy|Electricity|Solar|CSP	EJ/yr	0.01	0.01	0.01
AEO.2021	REF2021	USA	Secondary Energy|Electricity|Solar|PV	EJ/yr	0.29	1.41	2.14
AEO.2021	REF2021	USA	Secondary Energy|Electricity|Wind	EJ/yr	1.23	2.29	2.35
AEO.2021	REF2021	USA	Secondary Energy|Electricity|Wind|Offshore	EJ/yr	0	0.13	0.34
AEO.2021	REF2021	USA	Secondary Energy|Electricity|Wind|Onshore	EJ/yr	1.23	2.17	2.01
AEO.2022	REF2022	USA	Capacity|Electricity	GW	NA	1341.39	1566.42
AEO.2022	REF2022	USA	Capacity|Electricity|Biomass	GW	NA	2.66	2.66
AEO.2022	REF2022	USA	Capacity|Electricity|Coal	GW	NA	122.84	106.97
AEO.2022	REF2022	USA	Capacity|Electricity|Geothermal	GW	NA	3.47	5.42
AEO.2022	REF2022	USA	Capacity|Electricity|Hydro	GW	NA	79.34	79.38
AEO.2022	REF2022	USA	Capacity|Electricity|Nuclear	GW	NA	86.04	81.02
AEO.2022	REF2022	USA	Capacity|Electricity|Solar	GW	NA	286.99	432.21
AEO.2022	REF2022	USA	Capacity|Electricity|Solar|CSP	GW	NA	1.48	1.48
AEO.2022	REF2022	USA	Capacity|Electricity|Solar|PV	GW	NA	210.68	313.45
AEO.2022	REF2022	USA	Capacity|Electricity|Storage Capacity|PSH	GW	NA	23.02	23.02
AEO.2022	REF2022	USA	Capacity|Electricity|Wind	GW	NA	187.78	210.63
AEO.2022	REF2022	USA	Capacity|Electricity|Wind|Offshore	GW	NA	9.96	23.36
AEO.2022	REF2022	USA	Capacity|Electricity|Wind|Onshore	GW	NA	177.82	187.27
AEO.2022	REF2022	USA	Emissions|CO2|Energy	Mt CO2/yr	NA	4621.77	4560.68
AEO.2022	REF2022	USA	Emissions|CO2|Energy|Coal	Mt CO2/yr	NA	752.66	637.85
AEO.2022	REF2022	USA	Emissions|CO2|Energy|Demand|Buildings	Mt CO2/yr	NA	573.16	566.08
AEO.2022	REF2022	USA	Emissions|CO2|Energy|Demand|Buildings|Commercial	Mt CO2/yr	NA	252.76	255.3
AEO.2022	REF2022	USA	Emissions|CO2|Energy|Demand|Buildings|Commercial|Indirect	Mt CO2/yr	NA	397.58	357.21
AEO.2022	REF2022	USA	Emissions|CO2|Energy|Demand|Buildings|Indirect	Mt CO2/yr	NA	865.04	783.79
AEO.2022	REF2022	USA	Emissions|CO2|Energy|Demand|Buildings|Residential	Mt CO2/yr	NA	320.4	310.78
AEO.2022	REF2022	USA	Emissions|CO2|Energy|Demand|Buildings|Residential|Indirect	Mt CO2/yr	NA	467.46	426.58
AEO.2022	REF2022	USA	Emissions|CO2|Energy|Demand|Industry	Mt CO2/yr	NA	1055.82	1113.87
AEO.2022	REF2022	USA	Emissions|CO2|Energy|Demand|Industry|EInt Mfg|Aluminum	Mt CO2/yr	NA	15.23	13.71
AEO.2022	REF2022	USA	Emissions|CO2|Energy|Demand|Industry|EInt Mfg|Bulk chemicals	Mt CO2/yr	NA	298.42	328.11
AEO.2022	REF2022	USA	Emissions|CO2|Energy|Demand|Industry|EInt Mfg|Cement and lime	Mt CO2/yr	NA	31.21	29.04
AEO.2022	REF2022	USA	Emissions|CO2|Energy|Demand|Industry|EInt Mfg|Food products	Mt CO2/yr	NA	76.56	70.57
AEO.2022	REF2022	USA	Emissions|CO2|Energy|Demand|Industry|EInt Mfg|Glass	Mt CO2/yr	NA	9.21	8.43
AEO.2022	REF2022	USA	Emissions|CO2|Energy|Demand|Industry|EInt Mfg|Iron and steel	Mt CO2/yr	NA	85.36	80.64
AEO.2022	REF2022	USA	Emissions|CO2|Energy|Demand|Industry|EInt Mfg|Paper	Mt CO2/yr	NA	52.54	46.18
AEO.2022	REF2022	USA	Emissions|CO2|Energy|Demand|Industry|Indirect	Mt CO2/yr	NA	335.91	307.14
AEO.2022	REF2022	USA	Emissions|CO2|Energy|Demand|Industry|Non Mfg|Agriculture	Mt CO2/yr	NA	68.87	70.29
AEO.2022	REF2022	USA	Emissions|CO2|Energy|Demand|Industry|Non Mfg|Construction	Mt CO2/yr	NA	86.77	91.08
AEO.2022	REF2022	USA	Emissions|CO2|Energy|Demand|Industry|Non Mfg|Other mining	Mt CO2/yr	NA	71.33	66.77
AEO.2022	REF2022	USA	Emissions|CO2|Energy|Demand|Transportation	Mt CO2/yr	NA	1778.55	1767.52
AEO.2022	REF2022	USA	Emissions|CO2|Energy|Demand|Transportation|Indirect	Mt CO2/yr	NA	13.3	22.27
AEO.2022	REF2022	USA	Emissions|CO2|Energy|Gas	Mt CO2/yr	NA	1636.02	1690.74
AEO.2022	REF2022	USA	Emissions|CO2|Energy|Oil	Mt CO2/yr	NA	2222.09	2220.69
AEO.2022	REF2022	USA	Emissions|CO2|Energy|Supply|Electricity	Mt CO2/yr	NA	1214.24	1113.2
AEO.2022	REF2022	USA	Emissions|CO2|Energy|Supply|Electricity|Coal	Mt CO2/yr	NA	656.8	540.38
AEO.2022	REF2022	USA	Emissions|CO2|Energy|Supply|Electricity|Gas	Mt CO2/yr	NA	540.03	556.21
AEO.2022	REF2022	USA	Emissions|CO2|Energy|Supply|Electricity|Oil	Mt CO2/yr	NA	6.41	5.22
AEO.2022	REF2022	USA	Final Energy	EJ/yr	NA	81.21	83.75
AEO.2022	REF2022	USA	Final Energy|Buildings	EJ/yr	NA	39.46	39.98
AEO.2022	REF2022	USA	Final Energy|Buildings|Commercial	EJ/yr	NA	17.81	18.07
AEO.2022	REF2022	USA	Final Energy|Buildings|Commercial|Electricity	EJ/yr	NA	4.85	5.09
AEO.2022	REF2022	USA	Final Energy|Buildings|Residential	EJ/yr	NA	21.65	21.91
AEO.2022	REF2022	USA	Final Energy|Buildings|Residential|Electricity	EJ/yr	NA	5.63	6.02
AEO.2022	REF2022	USA	Final Energy|Electricity	EJ/yr	NA	14.51	15.54
AEO.2022	REF2022	USA	Final Energy|Industry	EJ/yr	NA	36.91	38.93
AEO.2022	REF2022	USA	Final Energy|Industry|EInt Mfg|Aluminum|Biomass Solids	EJ/yr	NA	0	0
AEO.2022	REF2022	USA	Final Energy|Industry|EInt Mfg|Aluminum|Coal	EJ/yr	NA	0	0
AEO.2022	REF2022	USA	Final Energy|Industry|EInt Mfg|Aluminum|Electricity	EJ/yr	NA	0.11	0.1
AEO.2022	REF2022	USA	Final Energy|Industry|EInt Mfg|Aluminum|Gas	EJ/yr	NA	0.12	0.12
AEO.2022	REF2022	USA	Final Energy|Industry|EInt Mfg|Aluminum|Oil	EJ/yr	NA	0	0
AEO.2022	REF2022	USA	Final Energy|Industry|EInt Mfg|Cement and lime|Biomass Solids	EJ/yr	NA	0.08	0.08
AEO.2022	REF2022	USA	Final Energy|Industry|EInt Mfg|Cement and lime|Coal	EJ/yr	NA	0.19	0.19
AEO.2022	REF2022	USA	Final Energy|Industry|EInt Mfg|Cement and lime|Electricity	EJ/yr	NA	0.05	0.05
AEO.2022	REF2022	USA	Final Energy|Industry|EInt Mfg|Cement and lime|Gas	EJ/yr	NA	0.1	0.08
AEO.2022	REF2022	USA	Final Energy|Industry|EInt Mfg|Cement and lime|Oil	EJ/yr	NA	0.04	0.04
AEO.2022	REF2022	USA	Final Energy|Industry|EInt Mfg|Food products|Biomass Solids	EJ/yr	NA	0.05	0.06
AEO.2022	REF2022	USA	Final Energy|Industry|EInt Mfg|Food products|Coal	EJ/yr	NA	0.13	0.13
AEO.2022	REF2022	USA	Final Energy|Industry|EInt Mfg|Food products|Electricity	EJ/yr	NA	0.32	0.34
AEO.2022	REF2022	USA	Final Energy|Industry|EInt Mfg|Food products|Gas	EJ/yr	NA	0.71	0.64
AEO.2022	REF2022	USA	Final Energy|Industry|EInt Mfg|Food products|Oil	EJ/yr	NA	0.01	0.01
AEO.2022	REF2022	USA	Final Energy|Industry|EInt Mfg|Glass|Coal	EJ/yr	NA	0	0
AEO.2022	REF2022	USA	Final Energy|Industry|EInt Mfg|Glass|Electricity	EJ/yr	NA	0.05	0.05
AEO.2022	REF2022	USA	Final Energy|Industry|EInt Mfg|Glass|Gas	EJ/yr	NA	0.1	0.09
AEO.2022	REF2022	USA	Final Energy|Industry|EInt Mfg|Glass|Oil	EJ/yr	NA	0	0
AEO.2022	REF2022	USA	Final Energy|Industry|EInt Mfg|Iron and steel|Biomass Solids	EJ/yr	NA	0	0
AEO.2022	REF2022	USA	Final Energy|Industry|EInt Mfg|Iron and steel|Coal	EJ/yr	NA	0.04	0.03
AEO.2022	REF2022	USA	Final Energy|Industry|EInt Mfg|Iron and steel|Electricity	EJ/yr	NA	0.24	0.23
AEO.2022	REF2022	USA	Final Energy|Industry|EInt Mfg|Iron and steel|Gas	EJ/yr	NA	0.33	0.32
AEO.2022	REF2022	USA	Final Energy|Industry|EInt Mfg|Iron and steel|Oil	EJ/yr	NA	0	0
AEO.2022	REF2022	USA	Final Energy|Industry|EInt Mfg|Paper|Biomass Solids	EJ/yr	NA	1.13	1.15
AEO.2022	REF2022	USA	Final Energy|Industry|EInt Mfg|Paper|Coal	EJ/yr	NA	0.05	0.04
AEO.2022	REF2022	USA	Final Energy|Industry|EInt Mfg|Paper|Electricity	EJ/yr	NA	0.21	0.2
AEO.2022	REF2022	USA	Final Energy|Industry|EInt Mfg|Paper|Gas	EJ/yr	NA	0.55	0.49
AEO.2022	REF2022	USA	Final Energy|Industry|EInt Mfg|Paper|Oil	EJ/yr	NA	0.03	0.05
AEO.2022	REF2022	USA	Final Energy|Industry|Electricity	EJ/yr	NA	3.85	4.08
AEO.2022	REF2022	USA	Final Energy|Industry|Non Mfg|Agriculture|Biomass Solids	EJ/yr	NA	0.16	0.17
AEO.2022	REF2022	USA	Final Energy|Industry|Non Mfg|Agriculture|Coal	EJ/yr	NA	0	0
AEO.2022	REF2022	USA	Final Energy|Industry|Non Mfg|Agriculture|Electricity	EJ/yr	NA	0.23	0.25
AEO.2022	REF2022	USA	Final Energy|Industry|Non Mfg|Agriculture|Gas	EJ/yr	NA	0.11	0.1
AEO.2022	REF2022	USA	Final Energy|Industry|Non Mfg|Agriculture|Oil	EJ/yr	NA	0.67	0.72
AEO.2022	REF2022	USA	Final Energy|Industry|Non Mfg|Construction|Electricity	EJ/yr	NA	0.3	0.35
AEO.2022	REF2022	USA	Final Energy|Industry|Non Mfg|Construction|Gas	EJ/yr	NA	0.23	0.21
AEO.2022	REF2022	USA	Final Energy|Industry|Non Mfg|Construction|Oil	EJ/yr	NA	0.76	0.85
AEO.2022	REF2022	USA	Final Energy|Industry|Non Mfg|Other mining|Biomass Solids	EJ/yr	NA	0.01	0.01
AEO.2022	REF2022	USA	Final Energy|Industry|Non Mfg|Other mining|Coal	EJ/yr	NA	0.03	0.03
AEO.2022	REF2022	USA	Final Energy|Industry|Non Mfg|Other mining|Electricity	EJ/yr	NA	0.25	0.25
AEO.2022	REF2022	USA	Final Energy|Industry|Non Mfg|Other mining|Gas	EJ/yr	NA	2.82	2.93
AEO.2022	REF2022	USA	Final Energy|Industry|Non Mfg|Other mining|Oil	EJ/yr	NA	0.33	0.33
AEO.2022	REF2022	USA	Final Energy|Industry|NonEInt Mfg|Balance of manufacturing|Biomass Solids	EJ/yr	NA	0.03	0.03
AEO.2022	REF2022	USA	Final Energy|Industry|NonEInt Mfg|Balance of manufacturing|Coal	EJ/yr	NA	0.01	0.01
AEO.2022	REF2022	USA	Final Energy|Industry|NonEInt Mfg|Balance of manufacturing|Gas	EJ/yr	NA	0.85	0.94
AEO.2022	REF2022	USA	Final Energy|Industry|NonEInt Mfg|Balance of manufacturing|Oil	EJ/yr	NA	0.11	0.12
AEO.2022	REF2022	USA	Final Energy|Industry|NonEInt Mfg|Metal durables|Appliances|Biomass Solids	EJ/yr	NA	0	0
AEO.2022	REF2022	USA	Final Energy|Industry|NonEInt Mfg|Metal durables|Appliances|Coal	EJ/yr	NA	0	0
AEO.2022	REF2022	USA	Final Energy|Industry|NonEInt Mfg|Metal durables|Appliances|Gas	EJ/yr	NA	0.04	0.04
AEO.2022	REF2022	USA	Final Energy|Industry|NonEInt Mfg|Metal durables|Appliances|Oil	EJ/yr	NA	0	0
AEO.2022	REF2022	USA	Final Energy|Industry|NonEInt Mfg|Metal durables|Computer|Biomass Solids	EJ/yr	NA	0	0
